T,K,kappa,theta,sigma,price,error,valid_paths
0.3,0.8,0.13,-0.24,0.18,0.203092,0.00194198,10000
0.3,0.8,0.13,-0.24,0.19,0.203556,0.00203015,10000
0.3,0.8,0.13,-0.24,0.2,0.20537,0.00213235,10000
0.3,0.8,0.13,-0.21,0.1,0.20016,0.00128343,10000
0.3,0.8,0.13,-0.21,0.12,0.200086,0.00141755,10000
0.3,0.8,0.13,-0.21,0.13,0.199903,0.0015247,10000
0.3,0.8,0.13,-0.21,0.14,0.201384,0.00160078,10000
0.3,0.8,0.13,-0.21,0.15,0.201425,0.00167739,10000
0.3,0.8,0.13,-0.21,0.16,0.198989,0.00178796,10000
0.3,0.8,0.13,-0.21,0.17,0.200315,0.00184947,10000
0.3,0.8,0.13,-0.21,0.18,0.201491,0.0019554,10000
0.3,0.8,0.13,-0.21,0.19,0.202026,0.00203979,10000
0.3,0.8,0.13,-0.21,0.2,0.200923,0.00210012,10000
0.3,0.8,0.13,-0.25,0.1,0.200055,0.00135544,10000
0.3,0.8,0.13,-0.25,0.12,0.201122,0.0014846,10000
0.3,0.8,0.13,-0.25,0.13,0.199561,0.00159928,10000
0.3,0.8,0.13,-0.25,0.14,0.201071,0.00164334,10000
0.3,0.8,0.13,-0.25,0.15,0.202038,0.00171789,10000
0.3,0.8,0.13,-0.25,0.16,0.201705,0.00180969,10000
0.3,0.8,0.13,-0.25,0.17,0.201726,0.00187908,10000
0.3,0.8,0.13,-0.25,0.18,0.201542,0.00197995,10000
0.3,0.8,0.13,-0.25,0.19,0.202631,0.00206092,10000
0.3,0.8,0.13,-0.25,0.2,0.205424,0.00215288,10000
0.3,0.8,0.13,-0.26,0.1,0.20055,0.00137491,10000
0.3,0.8,0.13,-0.26,0.12,0.202143,0.00150558,10000
0.3,0.8,0.13,-0.26,0.13,0.202087,0.00157522,10000
0.3,0.8,0.13,-0.26,0.14,0.200842,0.00164509,10000
0.3,0.8,0.13,-0.26,0.15,0.202869,0.00175014,10000
0.3,0.8,0.13,-0.26,0.16,0.201742,0.00179443,10000
0.3,0.8,0.13,-0.26,0.17,0.20244,0.00188147,10000
0.3,0.8,0.13,-0.26,0.18,0.20217,0.00197934,10000
0.3,0.8,0.13,-0.26,0.19,0.202141,0.00201792,10000
0.3,0.8,0.13,-0.26,0.2,0.202415,0.00212074,10000
0.3,0.8,0.13,-0.35,0.1,0.200444,0.00158446,10000
0.3,0.8,0.13,-0.35,0.12,0.202092,0.00168801,10000
0.3,0.8,0.13,-0.35,0.13,0.201804,0.00174241,10000
0.3,0.8,0.13,-0.35,0.14,0.201997,0.00179681,10000
0.3,0.8,0.13,-0.35,0.15,0.20162,0.00188082,10000
0.3,0.8,0.13,-0.35,0.16,0.202977,0.00193104,10000
0.3,0.8,0.13,-0.35,0.17,0.201848,0.00199011,10000
0.3,0.8,0.13,-0.35,0.18,0.204462,0.00209349,10000
0.3,0.8,0.13,-0.35,0.19,0.204131,0.00212571,10000
0.3,0.8,0.13,-0.35,0.2,0.203205,0.00222442,10000
