T,K,kappa,theta,sigma,price,error,valid_paths
1,0.9,0.11,-0.27,0.19,0.142363,0.00311529,10000
1,0.9,0.11,-0.27,0.2,0.141797,0.00319382,10000
1,0.9,0.11,-0.24,0.1,0.114758,0.00196319,10000
1,0.9,0.11,-0.24,0.12,0.120485,0.00220124,10000
1,0.9,0.11,-0.24,0.13,0.121817,0.00230457,10000
1,0.9,0.11,-0.24,0.14,0.123316,0.00239939,10000
1,0.9,0.11,-0.24,0.15,0.127506,0.00253745,10000
1,0.9,0.11,-0.24,0.16,0.129967,0.00264998,10000
1,0.9,0.11,-0.24,0.17,0.131321,0.00277957,10000
1,0.9,0.11,-0.24,0.18,0.135777,0.00290117,10000
1,0.9,0.11,-0.24,0.19,0.139283,0.00306504,10000
1,0.9,0.11,-0.24,0.2,0.140746,0.00316187,10000
1,0.9,0.11,-0.21,0.1,0.112267,0.00189464,10000
1,0.9,0.11,-0.21,0.12,0.118195,0.00212195,10000
1,0.9,0.11,-0.21,0.13,0.118993,0.00225021,10000
1,0.9,0.11,-0.21,0.14,0.12112,0.0023482,10000
1,0.9,0.11,-0.21,0.15,0.126546,0.00248862,10000
1,0.9,0.11,-0.21,0.16,0.128733,0.0026436,10000
1,0.9,0.11,-0.21,0.17,0.130768,0.00274748,10000
1,0.9,0.11,-0.21,0.18,0.133646,0.00290162,10000
1,0.9,0.11,-0.21,0.19,0.140211,0.00308622,10000
1,0.9,0.11,-0.21,0.2,0.136525,0.00309259,10000
1,0.9,0.11,-0.25,0.1,0.116348,0.00198876,10000
1,0.9,0.11,-0.25,0.12,0.120493,0.00222786,10000
1,0.9,0.11,-0.25,0.13,0.120535,0.00230504,10000
1,0.9,0.11,-0.25,0.14,0.126966,0.00243663,10000
1,0.9,0.11,-0.25,0.15,0.125367,0.00253992,10000
1,0.9,0.11,-0.25,0.16,0.129748,0.00268556,10000
1,0.9,0.11,-0.25,0.17,0.133717,0.00280161,10000
1,0.9,0.11,-0.25,0.18,0.133767,0.00288924,10000
1,0.9,0.11,-0.25,0.19,0.143766,0.00313343,10000
1,0.9,0.11,-0.25,0.2,0.139712,0.00317079,10000
1,0.9,0.11,-0.26,0.1,0.116429,0.0020099,10000
1,0.9,0.11,-0.26,0.12,0.121445,0.00221261,10000
1,0.9,0.11,-0.26,0.13,0.123136,0.00233313,10000
1,0.9,0.11,-0.26,0.14,0.125746,0.0024437,10000
1,0.9,0.11,-0.26,0.15,0.127551,0.00254657,10000
1,0.9,0.11,-0.26,0.16,0.130985,0.00270456,10000
1,0.9,0.11,-0.26,0.17,0.133303,0.00278196,10000
1,0.9,0.11,-0.26,0.18,0.134445,0.00289002,10000
1,0.9,0.11,-0.26,0.19,0.139683,0.00306664,10000
1,0.9,0.11,-0.26,0.2,0.141125,0.00321134,10000
1,0.9,0.11,-0.35,0.1,0.122507,0.00224658,10000
1,0.9,0.11,-0.35,0.12,0.125334,0.00240354,10000
1,0.9,0.11,-0.35,0.13,0.129066,0.00249288,10000
1,0.9,0.11,-0.35,0.14,0.129276,0.00261552,10000
1,0.9,0.11,-0.35,0.15,0.133965,0.00271257,10000
1,0.9,0.11,-0.35,0.16,0.134165,0.00282396,10000
1,0.9,0.11,-0.35,0.17,0.138309,0.00293566,10000
1,0.9,0.11,-0.35,0.18,0.139029,0.00308521,10000
1,0.9,0.11,-0.35,0.19,0.143355,0.00315949,10000
1,0.9,0.11,-0.35,0.2,0.14528,0.00328535,10000
1,0.9,0.11,-0.4,0.1,0.12662,0.00238404,10000
1,0.9,0.11,-0.4,0.12,0.129009,0.00253399,10000
1,0.9,0.11,-0.4,0.13,0.132251,0.00264231,10000
1,0.9,0.11,-0.4,0.14,0.137497,0.00275944,10000
1,0.9,0.11,-0.4,0.15,0.139607,0.00284397,10000
1,0.9,0.11,-0.4,0.16,0.139348,0.00293406,10000
1,0.9,0.11,-0.4,0.17,0.142503,0.00306147,10000
1,0.9,0.11,-0.4,0.18,0.144873,0.00319451,10000
1,0.9,0.11,-0.4,0.19,0.146329,0.00327206,10000
1,0.9,0.11,-0.4,0.2,0.147518,0.00336691,10000
1,0.9,0.11,-0.45,0.1,0.129244,0.0025281,10000
1,0.9,0.11,-0.45,0.12,0.1343,0.00269854,10000
1,0.9,0.11,-0.45,0.13,0.137578,0.00281249,10000
1,0.9,0.11,-0.45,0.14,0.135364,0.00281149,10000
1,0.9,0.11,-0.45,0.15,0.136932,0.00292092,10000
1,0.9,0.11,-0.45,0.16,0.14338,0.00304611,10000
1,0.9,0.11,-0.45,0.17,0.14743,0.00320705,10000
1,0.9,0.11,-0.45,0.18,0.148732,0.00331111,10000
1,0.9,0.11,-0.45,0.19,0.150377,0.00337699,10000
1,0.9,0.11,-0.45,0.2,0.153879,0.0034762,10000
1,0.9,0.12,-0.34,0.1,0.125723,0.00225248,10000
1,0.9,0.12,-0.34,0.12,0.126615,0.00240577,10000
1,0.9,0.12,-0.34,0.13,0.128851,0.00249636,10000
1,0.9,0.12,-0.34,0.14,0.133316,0.00264296,10000
1,0.9,0.12,-0.34,0.15,0.131976,0.00272812,10000
1,0.9,0.12,-0.34,0.16,0.134081,0.00279888,10000
1,0.9,0.12,-0.34,0.17,0.13924,0.0029533,10000
1,0.9,0.12,-0.34,0.18,0.143561,0.00307302,10000
1,0.9,0.12,-0.34,0.19,0.143652,0.00320573,10000
1,0.9,0.12,-0.34,0.2,0.147698,0.00332345,10000
1,0.9,0.12,-0.3,0.1,0.119422,0.00211176,10000
1,0.9,0.12,-0.3,0.12,0.125193,0.00234833,10000
1,0.9,0.12,-0.3,0.13,0.124967,0.0024136,10000
1,0.9,0.12,-0.3,0.14,0.127244,0.00254016,10000
1,0.9,0.12,-0.3,0.15,0.133081,0.00265596,10000
1,0.9,0.12,-0.3,0.16,0.13307,0.00277836,10000
1,0.9,0.12,-0.3,0.17,0.137043,0.00287261,10000
1,0.9,0.12,-0.3,0.18,0.139947,0.0030372,10000
1,0.9,0.12,-0.3,0.19,0.140967,0.00308718,10000
1,0.9,0.12,-0.3,0.2,0.147615,0.00328821,10000
1,0.9,0.12,-0.27,0.1,0.117954,0.00205986,10000
1,0.9,0.12,-0.27,0.12,0.122417,0.00227037,10000
1,0.9,0.12,-0.27,0.13,0.123611,0.00235309,10000
1,0.9,0.12,-0.27,0.14,0.126602,0.00246887,10000
1,0.9,0.12,-0.27,0.15,0.128148,0.0025799,10000
1,0.9,0.12,-0.27,0.16,0.134479,0.00275446,10000
1,0.9,0.12,-0.27,0.17,0.133206,0.00280107,10000
1,0.9,0.12,-0.27,0.18,0.138358,0.00296546,10000
1,0.9,0.12,-0.27,0.19,0.137972,0.00305605,10000
1,0.9,0.12,-0.27,0.2,0.140616,0.00321781,10000
1,0.9,0.12,-0.24,0.1,0.117269,0.00197954,10000
1,0.9,0.12,-0.24,0.12,0.121372,0.00217961,10000
1,0.9,0.12,-0.24,0.13,0.1215,0.00232546,10000
1,0.9,0.12,-0.24,0.14,0.125587,0.00241289,10000
1,0.9,0.12,-0.24,0.15,0.126548,0.00254418,10000
1,0.9,0.12,-0.24,0.16,0.131996,0.00269592,10000
1,0.9,0.12,-0.24,0.17,0.132432,0.00277629,10000
1,0.9,0.12,-0.24,0.18,0.135409,0.0028974,10000
1,0.9,0.12,-0.24,0.19,0.139278,0.00307858,10000
1,0.9,0.12,-0.24,0.2,0.139723,0.00311689,10000
1,0.9,0.12,-0.21,0.1,0.115824,0.00190863,10000
1,0.9,0.12,-0.21,0.12,0.119548,0.00213285,10000
1,0.9,0.12,-0.21,0.13,0.122661,0.00227841,10000
1,0.9,0.12,-0.21,0.14,0.125034,0.00238617,10000
1,0.9,0.12,-0.21,0.15,0.126858,0.00248801,10000
1,0.9,0.12,-0.21,0.16,0.12934,0.00263449,10000
1,0.9,0.12,-0.21,0.17,0.132198,0.00277148,10000
1,0.9,0.12,-0.21,0.18,0.136714,0.0029415,10000
1,0.9,0.12,-0.21,0.19,0.138665,0.00304271,10000
1,0.9,0.12,-0.21,0.2,0.137324,0.00312181,10000
1,0.9,0.12,-0.25,0.1,0.118859,0.00203061,10000
1,0.9,0.12,-0.25,0.12,0.121843,0.00221886,10000
1,0.9,0.12,-0.25,0.13,0.123819,0.00233606,10000
1,0.9,0.12,-0.25,0.14,0.126877,0.00246348,10000
1,0.9,0.12,-0.25,0.15,0.128055,0.00256018,10000
1,0.9,0.12,-0.25,0.16,0.1314,0.00268473,10000
1,0.9,0.12,-0.25,0.17,0.134482,0.00284388,10000
1,0.9,0.12,-0.25,0.18,0.136183,0.00290216,10000
1,0.9,0.12,-0.25,0.19,0.13986,0.00306684,10000
1,0.9,0.12,-0.25,0.2,0.139651,0.00318416,10000
1,0.9,0.12,-0.26,0.1,0.117737,0.00203341,10000
1,0.9,0.12,-0.26,0.12,0.121811,0.00224056,10000
1,0.9,0.12,-0.26,0.13,0.124368,0.00233482,10000
1,0.9,0.12,-0.26,0.14,0.125985,0.00246635,10000
1,0.9,0.12,-0.26,0.15,0.129852,0.00257289,10000
1,0.9,0.12,-0.26,0.16,0.131445,0.00267908,10000
1,0.9,0.12,-0.26,0.17,0.13529,0.0028438,10000
1,0.9,0.12,-0.26,0.18,0.138977,0.00295715,10000
1,0.9,0.12,-0.26,0.19,0.139813,0.00305313,10000
1,0.9,0.12,-0.26,0.2,0.142454,0.00320082,10000
1,0.9,0.12,-0.35,0.1,0.12094,0.00227996,10000
1,0.9,0.12,-0.35,0.12,0.129398,0.00244929,10000
1,0.9,0.12,-0.35,0.13,0.128899,0.0025453,10000
1,0.9,0.12,-0.35,0.14,0.132044,0.00264102,10000
1,0.9,0.12,-0.35,0.15,0.133706,0.00271498,10000
1,0.9,0.12,-0.35,0.16,0.133856,0.00285637,10000
1,0.9,0.12,-0.35,0.17,0.139681,0.00295414,10000
1,0.9,0.12,-0.35,0.18,0.1432,0.00309962,10000
1,0.9,0.12,-0.35,0.19,0.147832,0.00321239,10000
1,0.9,0.12,-0.35,0.2,0.147577,0.00333427,10000
1,0.9,0.12,-0.4,0.1,0.127043,0.00242609,10000
1,0.9,0.12,-0.4,0.12,0.133241,0.0026061,10000
1,0.9,0.12,-0.4,0.13,0.131259,0.00265268,10000
1,0.9,0.12,-0.4,0.14,0.134798,0.00275746,10000
1,0.9,0.12,-0.4,0.15,0.136819,0.00284263,10000
1,0.9,0.12,-0.4,0.16,0.140024,0.00295402,10000
1,0.9,0.12,-0.4,0.17,0.143553,0.00307276,10000
1,0.9,0.12,-0.4,0.18,0.14288,0.00312929,10000
1,0.9,0.12,-0.4,0.19,0.145467,0.00324505,10000
1,0.9,0.12,-0.4,0.2,0.150437,0.00335011,10000
1,0.9,0.12,-0.45,0.1,0.132482,0.00258424,10000
1,0.9,0.12,-0.45,0.12,0.134412,0.00271529,10000
1,0.9,0.12,-0.45,0.13,0.135005,0.00281646,10000
1,0.9,0.12,-0.45,0.14,0.140967,0.00291257,10000
1,0.9,0.12,-0.45,0.15,0.141461,0.00296177,10000
1,0.9,0.12,-0.45,0.16,0.142814,0.00307685,10000
1,0.9,0.12,-0.45,0.17,0.147609,0.00318136,10000
1,0.9,0.12,-0.45,0.18,0.148199,0.0032722,10000
1,0.9,0.12,-0.45,0.19,0.151079,0.00339339,10000
1,0.9,0.12,-0.45,0.2,0.154094,0.00351594,10000
1,0.9,0.13,-0.34,0.1,0.125705,0.00227577,10000
1,0.9,0.13,-0.34,0.12,0.127164,0.00243816,10000
1,0.9,0.13,-0.34,0.13,0.130425,0.0025539,10000
1,0.9,0.13,-0.34,0.14,0.131684,0.00262821,10000
1,0.9,0.13,-0.34,0.15,0.135643,0.00275108,10000
1,0.9,0.13,-0.34,0.16,0.133054,0.00281494,10000
1,0.9,0.13,-0.34,0.17,0.139284,0.00300682,10000
1,0.9,0.13,-0.34,0.18,0.143636,0.00309962,10000
1,0.9,0.13,-0.34,0.19,0.144318,0.00319519,10000
1,0.9,0.13,-0.34,0.2,0.148152,0.00334542,10000
1,0.9,0.13,-0.3,0.1,0.120031,0.00216845,10000
1,0.9,0.13,-0.3,0.12,0.127241,0.00234332,10000
1,0.9,0.13,-0.3,0.13,0.123472,0.0024152,10000
1,0.9,0.13,-0.3,0.14,0.12686,0.00252697,10000
1,0.9,0.13,-0.3,0.15,0.130028,0.00267073,10000
1,0.9,0.13,-0.3,0.16,0.134138,0.00276602,10000
1,0.9,0.13,-0.3,0.17,0.137203,0.00288535,10000
1,0.9,0.13,-0.3,0.18,0.138262,0.00298383,10000
1,0.9,0.13,-0.3,0.19,0.140591,0.00311126,10000
1,0.9,0.13,-0.3,0.2,0.143788,0.0032387,10000
1,0.9,0.13,-0.27,0.1,0.119219,0.00206233,10000
1,0.9,0.13,-0.27,0.12,0.126065,0.00230805,10000
1,0.9,0.13,-0.27,0.13,0.126136,0.0023782,10000
1,0.9,0.13,-0.27,0.14,0.127437,0.00245787,10000
1,0.9,0.13,-0.27,0.15,0.127991,0.00259024,10000
1,0.9,0.13,-0.27,0.16,0.131358,0.00267292,10000
1,0.9,0.13,-0.27,0.17,0.135196,0.00280043,10000
1,0.9,0.13,-0.27,0.18,0.138204,0.0029178,10000
1,0.9,0.13,-0.27,0.19,0.142451,0.00309532,10000
1,0.9,0.13,-0.27,0.2,0.143288,0.0031856,10000
1,0.9,0.13,-0.24,0.1,0.116909,0.00200578,10000
1,0.9,0.13,-0.24,0.12,0.120221,0.00221079,10000
1,0.9,0.13,-0.24,0.13,0.12167,0.00229862,10000
1,0.9,0.13,-0.24,0.14,0.125007,0.00245853,10000
1,0.9,0.13,-0.24,0.15,0.129147,0.0025756,10000
1,0.9,0.13,-0.24,0.16,0.131959,0.00268533,10000
1,0.9,0.13,-0.24,0.17,0.13182,0.00275112,10000
1,0.9,0.13,-0.24,0.18,0.1364,0.00292989,10000
1,0.9,0.13,-0.24,0.19,0.138419,0.00302522,10000
1,0.9,0.13,-0.24,0.2,0.140452,0.0031969,10000
1,0.9,0.13,-0.21,0.1,0.116147,0.00192564,10000
1,0.9,0.13,-0.21,0.12,0.118299,0.00216168,10000
1,0.9,0.13,-0.21,0.13,0.120064,0.00225724,10000
1,0.9,0.13,-0.21,0.14,0.124317,0.00238335,10000
1,0.9,0.13,-0.21,0.15,0.125396,0.00247305,10000
1,0.9,0.13,-0.21,0.16,0.130702,0.00264939,10000
1,0.9,0.13,-0.21,0.17,0.133241,0.00278526,10000
1,0.9,0.13,-0.21,0.18,0.134725,0.00288064,10000
1,0.9,0.13,-0.21,0.19,0.134775,0.00299133,10000
1,0.9,0.13,-0.21,0.2,0.140632,0.00316021,10000
1,0.9,0.13,-0.25,0.1,0.116826,0.00202744,10000
1,0.9,0.13,-0.25,0.12,0.122077,0.00221118,10000
1,0.9,0.13,-0.25,0.13,0.123641,0.00233709,10000
1,0.9,0.13,-0.25,0.14,0.125123,0.00244399,10000
1,0.9,0.13,-0.25,0.15,0.131871,0.00259063,10000
1,0.9,0.13,-0.25,0.16,0.128922,0.00269122,10000
1,0.9,0.13,-0.25,0.17,0.133514,0.00283572,10000
1,0.9,0.13,-0.25,0.18,0.136132,0.00296423,10000
1,0.9,0.13,-0.25,0.19,0.140172,0.00305278,10000
1,0.9,0.13,-0.25,0.2,0.142696,0.00318221,10000
1,0.9,0.13,-0.26,0.1,0.118411,0.002065,10000
1,0.9,0.13,-0.26,0.12,0.12243,0.00223074,10000
1,0.9,0.13,-0.26,0.13,0.123444,0.00234495,10000
1,0.9,0.13,-0.26,0.14,0.125822,0.0024521,10000
1,0.9,0.13,-0.26,0.15,0.129472,0.00259276,10000
1,0.9,0.13,-0.26,0.16,0.132379,0.00266558,10000
1,0.9,0.13,-0.26,0.17,0.136715,0.00280841,10000
1,0.9,0.13,-0.26,0.18,0.136784,0.00294178,10000
1,0.9,0.13,-0.26,0.19,0.137208,0.0030364,10000
1,0.9,0.13,-0.26,0.2,0.143558,0.0032072,10000
1,0.9,0.13,-0.35,0.1,0.125392,0.00230568,10000
1,0.9,0.13,-0.35,0.12,0.130345,0.00248015,10000
1,0.9,0.13,-0.35,0.13,0.131296,0.00256577,10000
1,0.9,0.13,-0.35,0.14,0.132763,0.00266376,10000
1,0.9,0.13,-0.35,0.15,0.137067,0.00280308,10000
1,0.9,0.13,-0.35,0.16,0.135346,0.00284521,10000
1,0.9,0.13,-0.35,0.17,0.140696,0.00296774,10000
1,0.9,0.13,-0.35,0.18,0.138696,0.00305997,10000
1,0.9,0.13,-0.35,0.19,0.145874,0.00321847,10000
1,0.9,0.13,-0.35,0.2,0.147815,0.00330005,10000
1,0.9,0.13,-0.4,0.1,0.12914,0.0024474,10000
1,0.9,0.13,-0.4,0.12,0.133531,0.00261831,10000
1,0.9,0.13,-0.4,0.13,0.134016,0.00272602,10000
1,0.9,0.13,-0.4,0.14,0.137006,0.00278672,10000
1,0.9,0.13,-0.4,0.15,0.139708,0.00288437,10000
1,0.9,0.13,-0.4,0.16,0.1417,0.00300133,10000
1,0.9,0.13,-0.4,0.17,0.144241,0.00306134,10000
1,0.9,0.13,-0.4,0.18,0.150025,0.00324251,10000
1,0.9,0.13,-0.4,0.19,0.146838,0.00327844,10000
1,0.9,0.13,-0.4,0.2,0.152374,0.00342585,10000
1,0.9,0.13,-0.45,0.1,0.132027,0.00263673,10000
1,0.9,0.13,-0.45,0.12,0.137492,0.00277568,10000
1,0.9,0.13,-0.45,0.13,0.142158,0.00286838,10000
1,0.9,0.13,-0.45,0.14,0.14048,0.00293141,10000
1,0.9,0.13,-0.45,0.15,0.146399,0.00303435,10000
1,0.9,0.13,-0.45,0.16,0.143681,0.00310203,10000
1,0.9,0.13,-0.45,0.17,0.147004,0.00319011,10000
1,0.9,0.13,-0.45,0.18,0.148594,0.00329459,10000
1,0.9,0.13,-0.45,0.19,0.150823,0.00340193,10000
1,0.9,0.13,-0.45,0.2,0.155089,0.00351584,10000
1,0.9,0.14,-0.34,0.1,0.124357,0.00227989,10000
1,0.9,0.14,-0.34,0.12,0.12943,0.0024681,10000
1,0.9,0.14,-0.34,0.13,0.131195,0.00254949,10000
1,0.9,0.14,-0.34,0.14,0.133918,0.00262566,10000
1,0.9,0.14,-0.34,0.15,0.134338,0.00275067,10000
1,0.9,0.14,-0.34,0.16,0.136062,0.00284385,10000
1,0.9,0.14,-0.34,0.17,0.139517,0.00296936,10000
1,0.9,0.14,-0.34,0.18,0.142422,0.0030717,10000
1,0.9,0.14,-0.34,0.19,0.147503,0.00319647,10000
1,0.9,0.14,-0.34,0.2,0.146979,0.00328797,10000
1,0.9,0.14,-0.3,0.1,0.123807,0.00218311,10000
1,0.9,0.14,-0.3,0.12,0.123844,0.00233008,10000
1,0.9,0.14,-0.3,0.13,0.127777,0.0024541,10000
1,0.9,0.14,-0.3,0.14,0.129561,0.00256441,10000
1,0.9,0.14,-0.3,0.15,0.132128,0.00265793,10000
1,0.9,0.14,-0.3,0.16,0.136049,0.00277048,10000
1,0.9,0.14,-0.3,0.17,0.13839,0.00289181,10000
1,0.9,0.14,-0.3,0.18,0.137492,0.00297267,10000
1,0.9,0.14,-0.3,0.19,0.14025,0.00313269,10000
1,0.9,0.14,-0.3,0.2,0.14525,0.00319781,10000
1,0.9,0.14,-0.27,0.1,0.118319,0.00207909,10000
1,0.9,0.14,-0.27,0.12,0.123006,0.00226585,10000
1,0.9,0.14,-0.27,0.13,0.127627,0.00240471,10000
1,0.9,0.14,-0.27,0.14,0.128936,0.00249586,10000
1,0.9,0.14,-0.27,0.15,0.130782,0.00262369,10000
1,0.9,0.14,-0.27,0.16,0.132722,0.00272304,10000
1,0.9,0.14,-0.27,0.17,0.13603,0.00282336,10000
1,0.9,0.14,-0.27,0.18,0.137635,0.00295878,10000
1,0.9,0.14,-0.27,0.19,0.143827,0.00310485,10000
1,0.9,0.14,-0.27,0.2,0.144785,0.00326898,10000
1,0.9,0.14,-0.24,0.1,0.116691,0.00201349,10000
1,0.9,0.14,-0.24,0.12,0.123785,0.00223402,10000
1,0.9,0.14,-0.24,0.13,0.124216,0.00233208,10000
1,0.9,0.14,-0.24,0.14,0.126325,0.00243743,10000
1,0.9,0.14,-0.24,0.15,0.129914,0.00254346,10000
1,0.9,0.14,-0.24,0.16,0.130304,0.00266513,10000
1,0.9,0.14,-0.24,0.17,0.133613,0.00282016,10000
1,0.9,0.14,-0.24,0.18,0.138495,0.00295813,10000
1,0.9,0.14,-0.24,0.19,0.138964,0.00299434,10000
1,0.9,0.14,-0.24,0.2,0.143585,0.00323908,10000
1,0.9,0.14,-0.21,0.1,0.115989,0.00195191,10000
1,0.9,0.14,-0.21,0.12,0.119036,0.00215088,10000
1,0.9,0.14,-0.21,0.13,0.122947,0.00224731,10000
1,0.9,0.14,-0.21,0.14,0.125247,0.00240096,10000
1,0.9,0.14,-0.21,0.15,0.127226,0.00252,10000
1,0.9,0.14,-0.21,0.16,0.13132,0.00262611,10000
1,0.9,0.14,-0.21,0.17,0.133924,0.00278193,10000
1,0.9,0.14,-0.21,0.18,0.134843,0.00287553,10000
1,0.9,0.14,-0.21,0.19,0.137987,0.00304049,10000
1,0.9,0.14,-0.21,0.2,0.142445,0.0032094,10000
1,0.9,0.14,-0.25,0.1,0.119821,0.00205116,10000
1,0.9,0.14,-0.25,0.12,0.123266,0.00224367,10000
1,0.9,0.14,-0.25,0.13,0.124289,0.00233181,10000
1,0.9,0.14,-0.25,0.14,0.127692,0.00243712,10000
1,0.9,0.14,-0.25,0.15,0.131403,0.00256628,10000
1,0.9,0.14,-0.25,0.16,0.13102,0.00270409,10000
1,0.9,0.14,-0.25,0.17,0.134482,0.00280808,10000
1,0.9,0.14,-0.25,0.18,0.134511,0.00284804,10000
1,0.9,0.14,-0.25,0.19,0.139419,0.00306181,10000
1,0.9,0.14,-0.25,0.2,0.141709,0.00318539,10000
1,0.9,0.14,-0.26,0.1,0.11787,0.00206389,10000
1,0.9,0.14,-0.26,0.12,0.124515,0.00225589,10000
1,0.9,0.14,-0.26,0.13,0.126486,0.00237543,10000
1,0.9,0.14,-0.26,0.14,0.126989,0.00247254,10000
1,0.9,0.14,-0.26,0.15,0.12876,0.00259185,10000
1,0.9,0.14,-0.26,0.16,0.130059,0.00269208,10000
1,0.9,0.14,-0.26,0.17,0.132045,0.00277988,10000
1,0.9,0.14,-0.26,0.18,0.140267,0.00298082,10000
1,0.9,0.14,-0.26,0.19,0.141757,0.00308281,10000
1,0.9,0.14,-0.26,0.2,0.143043,0.00321077,10000
1,0.9,0.14,-0.35,0.1,0.126147,0.00235116,10000
1,0.9,0.14,-0.35,0.12,0.129982,0.00252538,10000
1,0.9,0.14,-0.35,0.13,0.133468,0.00258528,10000
1,0.9,0.14,-0.35,0.14,0.133626,0.00265133,10000
1,0.9,0.14,-0.35,0.15,0.134563,0.00272886,10000
1,0.9,0.14,-0.35,0.16,0.139831,0.00289953,10000
1,0.9,0.14,-0.35,0.17,0.142569,0.00298986,10000
1,0.9,0.14,-0.35,0.18,0.141123,0.00311597,10000
1,0.9,0.14,-0.35,0.19,0.146397,0.00322088,10000
1,0.9,0.14,-0.35,0.2,0.14924,0.00329024,10000
1,0.9,0.14,-0.4,0.1,0.129474,0.00249035,10000
1,0.9,0.14,-0.4,0.12,0.135036,0.00264328,10000
1,0.9,0.14,-0.4,0.13,0.139084,0.00277303,10000
1,0.9,0.14,-0.4,0.14,0.138757,0.00281293,10000
1,0.9,0.14,-0.4,0.15,0.13988,0.00290868,10000
1,0.9,0.14,-0.4,0.16,0.141587,0.00298372,10000
1,0.9,0.14,-0.4,0.17,0.142994,0.00309928,10000
1,0.9,0.14,-0.4,0.18,0.142499,0.00316532,10000
1,0.9,0.14,-0.4,0.19,0.149404,0.00333691,10000
1,0.9,0.14,-0.4,0.2,0.150946,0.0034176,10000
1,0.9,0.14,-0.45,0.1,0.135841,0.00270024,10000
1,0.9,0.14,-0.45,0.12,0.139298,0.00281266,10000
1,0.9,0.14,-0.45,0.13,0.140379,0.00289085,10000
1,0.9,0.14,-0.45,0.14,0.141042,0.00295381,10000
1,0.9,0.14,-0.45,0.15,0.141866,0.0030373,10000
1,0.9,0.14,-0.45,0.16,0.148912,0.00315937,10000
1,0.9,0.14,-0.45,0.17,0.146367,0.00318819,10000
1,0.9,0.14,-0.45,0.18,0.151319,0.0032674,10000
1,0.9,0.14,-0.45,0.19,0.154129,0.00341686,10000
1,0.9,0.14,-0.45,0.2,0.158186,0.00357191,10000
1,0.9,0.15,-0.34,0.1,0.12584,0.00230905,10000
1,0.9,0.15,-0.34,0.12,0.129837,0.00249131,10000
1,0.9,0.15,-0.34,0.13,0.134182,0.00259117,10000
1,0.9,0.15,-0.34,0.14,0.136615,0.00267454,10000
1,0.9,0.15,-0.34,0.15,0.138249,0.00277457,10000
1,0.9,0.15,-0.34,0.16,0.140068,0.00289224,10000
1,0.9,0.15,-0.34,0.17,0.143001,0.00299912,10000
1,0.9,0.15,-0.34,0.18,0.144518,0.00311879,10000
1,0.9,0.15,-0.34,0.19,0.146409,0.00320925,10000
1,0.9,0.15,-0.34,0.2,0.14857,0.00328269,10000
1,0.9,0.15,-0.3,0.1,0.123022,0.00219511,10000
1,0.9,0.15,-0.3,0.12,0.125884,0.00237021,10000
1,0.9,0.15,-0.3,0.13,0.130316,0.0024987,10000
1,0.9,0.15,-0.3,0.14,0.129978,0.00256477,10000
1,0.9,0.15,-0.3,0.15,0.132139,0.00265766,10000
1,0.9,0.15,-0.3,0.16,0.134106,0.00274624,10000
1,0.9,0.15,-0.3,0.17,0.140308,0.00290854,10000
1,0.9,0.15,-0.3,0.18,0.143066,0.00302921,10000
1,0.9,0.15,-0.3,0.19,0.144632,0.00311647,10000
1,0.9,0.15,-0.3,0.2,0.145912,0.00329521,10000
1,0.9,0.15,-0.27,0.1,0.120448,0.00211733,10000
1,0.9,0.15,-0.27,0.12,0.123604,0.00231536,10000
1,0.9,0.15,-0.27,0.13,0.125942,0.00239685,10000
1,0.9,0.15,-0.27,0.14,0.128567,0.00249376,10000
1,0.9,0.15,-0.27,0.15,0.131576,0.00261085,10000
1,0.9,0.15,-0.27,0.16,0.136196,0.00277597,10000
1,0.9,0.15,-0.27,0.17,0.135144,0.00280538,10000
1,0.9,0.15,-0.27,0.18,0.137848,0.00293687,10000
1,0.9,0.15,-0.27,0.19,0.14014,0.00311113,10000
1,0.9,0.15,-0.27,0.2,0.143689,0.00319296,10000
1,0.9,0.15,-0.24,0.1,0.116679,0.00201732,10000
1,0.9,0.15,-0.24,0.12,0.121043,0.00219296,10000
1,0.9,0.15,-0.24,0.13,0.125317,0.00232301,10000
1,0.9,0.15,-0.24,0.14,0.125948,0.00243464,10000
1,0.9,0.15,-0.24,0.15,0.131529,0.00260415,10000
1,0.9,0.15,-0.24,0.16,0.130589,0.00267574,10000
1,0.9,0.15,-0.24,0.17,0.135345,0.00278131,10000
1,0.9,0.15,-0.24,0.18,0.13513,0.00290693,10000
1,0.9,0.15,-0.24,0.19,0.137398,0.00302219,10000
1,0.9,0.15,-0.24,0.2,0.142541,0.00317217,10000
1,0.9,0.15,-0.21,0.1,0.114812,0.00194665,10000
1,0.9,0.15,-0.21,0.12,0.121386,0.00217776,10000
1,0.9,0.15,-0.21,0.13,0.121706,0.00227781,10000
1,0.9,0.15,-0.21,0.14,0.125468,0.00240091,10000
1,0.9,0.15,-0.21,0.15,0.129175,0.00253893,10000
1,0.9,0.15,-0.21,0.16,0.130069,0.00261486,10000
1,0.9,0.15,-0.21,0.17,0.133823,0.00279888,10000
1,0.9,0.15,-0.21,0.18,0.136622,0.00291713,10000
1,0.9,0.15,-0.21,0.19,0.138917,0.00301341,10000
1,0.9,0.15,-0.21,0.2,0.14073,0.00314605,10000
1,0.9,0.15,-0.25,0.1,0.119493,0.00206527,10000
